anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
3464,Kemeko Deluxe!,,ケメコデラックス！,"The Unknown Girlfriend, Kemeko DX",https://myanimelist.cdn-dena.com/images/anime/3/75538.jpg,TV,Manga,12,Finished Airing,False,"Oct 5, 2008 to Dec 21, 2008","{'from': '2008-10-05', 'to': '2008-12-21'}",24 min. per ep.,PG-13 - Teens 13 or older,6.69,13180,4800,2085,30794,47,,Fall 2008,Unknown,"{'Adaptation': [{'mal_id': 4153, 'type': 'manga', 'url': 'https://myanimelist.net/manga/4153/Kemeko_Deluxe', 'title': 'Kemeko Deluxe!'}], 'Other': [{'mal_id': 32503, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32503/Kemeko_Deluxe__Izumi-chan_Fukenkou_yo_Kari', 'title': 'Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)'}]}","Geneon Universal Entertainment, YTV, KlockWorx, AC Create, Yomiuri Advertising",,Hal Film Maker,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen","['""Kemeko Deluxe! (ケメコデラックス！)"" by Kemeko to Deluxe: Chiwa Saito, Haruka Tomatsu, Mikako Takahashi, Rie Kugimiya, Ryoko Shiraishi, Ayako Kawasumi and Mai Goto']","['""Purippurin Taisou (プリップリン体操)"" by Kemeko: Chiwa Saito']"
8132,Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,,超電影版SDガンダム三国伝 Brave Battle Warriors,"Cho Denei-ban SD Gundam Sangokuden Brave Battle Warriors, SD Gundam Sangoku Den Brave Battle Warriors, BB Senshi",https://myanimelist.cdn-dena.com/images/anime/9/20218.jpg,Movie,Original,1,Finished Airing,False,"Feb 27, 2010","{'from': '2010-02-27', 'to': '2010-02-27'}",13 min.,PG - Children,6.18,391,6824,7546,1432,2,,,,"{'Alternative version': [{'mal_id': 8287, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8287/SD_Gundam_Sangokuden_Brave_Battle_Warriors', 'title': 'SD Gundam Sangokuden Brave Battle Warriors'}]}","Sotsu, Atelier Musa, Miracle Bus",,Sunrise,"Action, Mecha, Historical",[],[]
17949,The Everlasting Guilty Crown,,The Everlasting Guilty Crown,,https://myanimelist.cdn-dena.com/images/anime/12/47807.jpg,Music,Unknown,1,Finished Airing,False,"Mar 7, 2012","{'from': '2012-03-07', 'to': '2012-03-07'}",5 min.,G - All Ages,7.96,8922,608,2831,17724,57,,,,"{'Other': [{'mal_id': 10793, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10793/Guilty_Crown', 'title': 'Guilty Crown'}]}","Sony Music Entertainment, Carp Studio",,,Music,[],[]
33183,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,,映画魔法つかいプリキュア！奇跡の変身！キュアモフルン！,Maho Girls PreCure! the Movie: The Miraculous Transformation! Cure Mofurun!,https://myanimelist.cdn-dena.com/images/anime/2/79727.jpg,Movie,Original,1,Finished Airing,False,"Oct 29, 2016","{'from': '2016-10-29', 'to': '2016-10-29'}",1 hr. 4 min.,G - All Ages,7.38,440,2115,7635,1379,1,,,,"{'Full story': [{'mal_id': 31884, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31884/Mahoutsukai_Precure', 'title': 'Mahoutsukai Precure!'}], 'Other': [{'mal_id': 33669, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33669/Cure_Miracle_to_Mofurun_no_Mahou_Lesson', 'title': 'Cure Miracle to Mofurun no Mahou Lesson'}]}","ABC Animation, Kinoshita Group Holdings",,Toei Animation,"Action, Slice of Life, Magic, Fantasy, School, Shoujo",[],[]
16377,Peeping Life: The Perfect Extension,,Peeping Life（ピーピング・ライフ）‐The Perfect Extension‐,,https://myanimelist.cdn-dena.com/images/anime/6/44191.jpg,OVA,Unknown,10,Finished Airing,False,"Sep 23, 2011","{'from': '2011-09-23', 'to': '2011-09-23'}",5 min. per ep.,G - All Ages,5.68,78,8047,10370,318,0,,,,"{'Prequel': [{'mal_id': 16373, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16373/Peeping_Life__The_Perfect_Evolution', 'title': 'Peeping Life: The Perfect Evolution'}], 'Sequel': [{'mal_id': 19849, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19849/Peeping_Life_50ch', 'title': 'Peeping Life 5.0ch'}], 'Other': [{'mal_id': 32146, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32146/Peeping_Life__TV_Asahi_Josei_Announcer_Collab', 'title': 'Peeping Life: TV Asahi Josei Announcer Collab'}, {'mal_id': 32147, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32147/Peeping_Life_x_Kids_Station', 'title': 'Peeping Life x Kids Station'}]}",CoMix Wave Films,,,"Slice of Life, Comedy",[],[]
4050,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,Mushiking: The Guardians of the Forest,甲虫王者ムシキング ～森の民の伝説～,,https://myanimelist.cdn-dena.com/images/anime/6/23618.jpg,TV,Card game,52,Finished Airing,False,"Apr 6, 2005 to Mar 29, 2006","{'from': '2005-04-06', 'to': '2006-03-29'}",22 min. per ep.,G - All Ages,6.77,591,4448,7340,1584,5,,Spring 2005,Wednesdays at 18:00 (JST),"{'Side story': [{'mal_id': 2173, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2173/Kouchuu_Ouja_Mushiking_Super_Battle_Movie__Yami_no_Kaizou_Kouchuu', 'title': 'Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu'}], 'Spin-off': [{'mal_id': 17469, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17469/Kouchuu_Ouja_Mushiking__Greatest_Champion_e_no_Michi', 'title': 'Kouchuu Ouja Mushiking: Greatest Champion e no Michi'}]}","TV Tokyo, Yomiuri Advertising",,TMS Entertainment,Fantasy,"['""Ikitekoso"" by Kiroro (eps 1-52)']","['#01: ""Let&#039;s HappiecE Life!"" by 3B LAB.☆S (eps 1-12)', '#02: ""Mushiking Samba"" by Kaori & Mushiking Amigos (eps 13-26)', '#03: ""think twice"" by FUZZY CONTROL  (eps 27-39)', '#04: ""Hikaru Stage"" by 80_pan (eps 40-52)']"
798,Yomigaeru Sora: Rescue Wings,,よみがえる空 -Rescue Wings-,,https://myanimelist.cdn-dena.com/images/anime/1/798.jpg,TV,Original,12,Finished Airing,False,"Jan 9, 2006 to Mar 27, 2006","{'from': '2006-01-09', 'to': '2006-03-27'}",23 min. per ep.,PG-13 - Teens 13 or older,7.5,2847,1654,3886,8754,30,,Winter 2006,Unknown,"{'Prequel': [{'mal_id': 1843, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1843/Yomigaeru_Sora__Rescue_Wings_Special', 'title': 'Yomigaeru Sora: Rescue Wings Special'}], 'Alternative version': [{'mal_id': 24527, 'type': 'anime', 'url': 'https://myanimelist.net/anime/24527/Yomigaeru_Sora_Pilot', 'title': 'Yomigaeru Sora Pilot'}]}","Bandai Visual, Lantis",,J.C.Staff,"Drama, Military, Seinen","['#1 ""Ashita o Tomenai de"" by Misato Aki', '#2 ""Hyokkori Hyoutan-Jima (ひょっこりひょうたん島)"" by Maekawa Youko, Young Fresh (ep 6)']","['#1: ""Emblem"" by JAM Project', '#2: ""Hyokkori Hyoutan-Jima (ひょっこりひょうたん島)"" by Maekawa Youko, Young Fresh (ep 7)']"
32854,Fr/day Night,,FR/DAY NIGHT,Friday Night,https://myanimelist.cdn-dena.com/images/anime/9/78764.jpg,Music,Music,1,Finished Airing,False,"Jul 9, 2015","{'from': '2015-07-09', 'to': '2015-07-09'}",4 min.,G - All Ages,5.25,189,8756,10350,322,0,,,,[],Toy&#039;s Factory,,,"Comedy, Music",[],[]
24785,Awate Tokoya,,あわて床屋,The Confused Barber: Minna no Uta,https://myanimelist.cdn-dena.com/images/anime/6/63729.jpg,Music,Music,1,Finished Airing,False,"Apr, 1961","{'from': None, 'to': None}",2 min.,G - All Ages,5.02,56,9021,12081,142,0,,,,[],NHK,,,Music,[],[]
11793,"Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode",,たまゆら～hitotose～ 第5.5話「あったかい風の想い出、なので」,"Tamayura: Hitotose OVA, Tamayura (TV) OVA, Tamayura (TV) Episode 5.5",https://myanimelist.cdn-dena.com/images/anime/12/71632.jpg,Special,Original,1,Finished Airing,False,"Jun 27, 2012","{'from': '2012-06-27', 'to': '2012-06-27'}",24 min.,G - All Ages,7.43,2861,1910,4425,6375,4,,,,"{'Prequel': [{'mal_id': 10232, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10232/Tamayura__Hitotose', 'title': 'Tamayura: Hitotose'}], 'Sequel': [{'mal_id': 15731, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15731/Tamayura__More_Aggressive', 'title': 'Tamayura: More Aggressive'}]}",,,TYO Animations,"Comedy, Drama, Slice of Life","['""Okaerinasai (おかえりなさい)"" by Maaya Sakamoto']","['""Hanabi (花火)"" by Natsumi Kiyoura']"
